Sentence,Class
የተደራጀ የወንጀል ቡድን የሚለው ትርጉም በአዋጁ የተሰጠው ትርጉም ከተባበሩት መንግስታት ድንበር ተሸጋሪ የተደራጁ ወንጀሎችን ለመከላከል ከወጣው ስምምነት ከተቀመጠው ትርጉም ጋር የተጣጣመ ቢሆንም መጠነኛ ልዩነት አለው,Human trafficking law
በዚህ አንቀጽ ፊደል ተራ   ሀ   እና   ለ   ከተደነገገው ቅጣት በተጨማሪ ድርጅቱ ወይም የማኀበሩ ማንኛውም ንብረት ወይም ሀብት ይወረሣል,Human trafficking law
የተባበሩት መንግስታት ድርጅት የተደራጁ ድንበር ዘለል ወንጀሎችን ለመከላከል ስምምነት ያወጣ ሲሆን  ኢትዮጵያን ጨምሮ ብዙ አገራት ይህን ስምምነት ፈርመዋል,Human trafficking law
በዚህ አንቀጽ ንዑስ አንቀጽ ከተዘረዘሩት ምክኒያቶች ሁለቱ ወይም ከዚያ በላይ ተደራርበው ሲገኙ ቅጣቱ ከአስር አመት እስከ ሀያ አምስት አመት የሚደርስ ጽኑ እስራትና ከአስር ሺህ ብር የማያንስና ከአንድ መቶ ሺህ ብር የማይበልጥ መቀጮ ይሆናል,ant-corruption law
"ስለሆነም አንቀጽ 2  4   ብዝበዛ የሚለው ቃል በወንጀል ሕጉ በግልጽ ያልተገለጸና ውሱን የብዝበዛ አይነቶች በወንጀል ሕጉ የተቀመጡ በመሆኑ እነዚህን ማስፋት የሚያስፈልግ ከመሆኑ አንጻር ብዝበዛ የሚለው ቃል ሊያካትታቸው ስለሚችሉ ጉዳዮች በግልጽ ተቀምጧል። 
ስለሆነም አዋጁ ከአንቀጽ 3 ጀምሮ የተዘረዘሩ የወንጀል ጉዳዮች ለብዝበዛ ዓላማ ሲል ምን ማለት እንደሆነ በግልጽ እንዲያሳይ ተደርጎ ተቀምጧል። እነዚህ የብዝበዛ ዓይነቶችም ለማሳያነት ብቻ የተቀመጡ እንጅ ህግ አውጭው በህገ ወጥ ሰዎች ዝውውር በተጎጅዎች ላይ የሚደርሱ ብዝበዛዎች እነዚህ ብቻ ናቸው በሚል ያላስቀመጠ  ዝግ ያላደረገ   መሆኑን የድንጋጌው አቀራረጽ ያሳያል",Human trafficking law
በሙስና ወንጀል የተገኘ ለመሆኑ የተረጋገጠ ንብረትና በወንጀሉ በተገኘው ንብረት ያፈራው ንብረት ወይም በሙስና ወንጀሉ ከተገኘው ጥቅምና በወንጀል ከተገኘው ንብረት ያፈራው ንብረት ጋር ተመጣጣኝ የሆነ ማናቸውም የተከሳሹ ንብረት እንዲወረስ,ant-corruption law
ማንኛውም ሰው የመንግስት ወይም የህዝባዊ ድርጅት ሰራተኛ ባለመሆኑ በዚህ አዋጅ በአንቀጽ   6 ለመንግስት ወይም ለህዝባዊ ድርጅት ሰራተኛ የተደነገገው የማይመለከተው ቢሆንም   ያለውን ወይም እንዳለው ያስመሰለውን ተሰሚነት በመጠቀም በአንድ የመንግስት ወይም የህዝባዊ ድርጅት ሰራተኛ ብቻ ሊሰት የሚችለውን ልዩ መብት ወይም ጥቅም ለሌላ ሰው ለማስገኘት ሲል ከሌላ ሰው ገንዘብ   ስጦታ   እጅ መንሻ ወይም ሌላ ጥቅም የጠየቀ   የተቀበለ ወይም እነዚህን በተመለከተ የተስፋ ቃል የተቀበለ እንደሆነ  ከአንድ ዓመት በማያንስ ቀላል እስራትና ከሶስት ሺህ ብር በማያንስ መቀጮ ይቀጣል,ant-corruption law
በዚህ አንቀጽ ንኡስ አንቀጽ    መሰረት የሚወሰነው መቀጮ ጥፋተኛው ባይገኝም ሊገኝ ከሚችል ሀብቱ እንዲከፍል ይደረጋል,ant-corruption law
የህገ-ወጥ የሰዎች ዝውውር ወንጀል ራሱን የቻለ ወንጀል ከመሆኑም በላይ በከፍተኛ ሁኔታ የሌሎች ሰብአዊ መብት ጥሰቶችን የሚያስከትል ወንጀል ነው,Human trafficking law
እንዲሁም ጉዳዩ ቀደም ሲል በአዋጅ ቁጥር 25  88 አንቀጽ 4  3   እና 12  1   መሰረት የፌደራል ከፍተኛ ፍርድ ቤት ስልጣን የነበረ በመሆኑ በክልል የክልል ጠቅላይ ፍርድ ቤት በውክልና ሲያየው የነበር በመሆኑ ወንጀሉ የሚፈጸመው ደግሞ ጠቅላይ ፍርድ ቤቱ ካለበትና በተዘዋዋሪ ችሎት ከሚደርስባቸው ቦታዎች በርቀት ካሉ ወረዳዎች ከመሆኑ አንጻር ተከሳሽና ምስክር ይዞ ወደ ጠቅላይ ፍርድ ቤቱ ለመምጣት የሚያስቸግር በመሆኑ ጉዳዩ በዘየ ቁጥር ተከሳሽና ምስክር የሚጠፋበት ሁኔታ በመኖሩ አጥፊዎች ተገቢውን ቅጣት ሳያገኙ የሚቀሩበት ሁኔታ ነበር,Human trafficking law
ተከሳሹ በሌለበት የእግድ ትእዛዝ ከተሰጠ መረማሪው ወይም አቃቢ ህጉ ትእዛዙንና የቃለ መሃላውን ግልባጮች ለተከሳሹና በትእዛዙ ስሙ ለተጠቀሰው ለሌላ ሰው ያደርሳል   የእግድ ትእዛዙን ለሚመለከተው ለማናቸውም ሰው ያስታውቃል,ant-corruption law
ማንኛውም ሰው በዚህ አዋጅ መሰረት ጥቆማ  መረጃ ወይም ማስረጃ የማቅረብ ግዴታን ላለመወጣት ሲል ልዩ መብትን በምክንያትነት መጠቀም አይችልም  ግዴታውን ባለመወጣቱ ምክንያት እንደነገሩ ሁኔታ በዚህ አዋጅ ወይም በሌላ አግባብነት ባለው ህግ ተጠያቂ ይሆናል,Human trafficking law
በሌላ በኩል በስደተኞች ጉዳይ አዋጅ አንቀጽ 19 የባለስልጣኑ ኃላፊ በዚህ አዋጅ አንቀጽ 4  3   የተደነገገውን መስፈርት የሚያሟሉ የአንድ የሰዎች ቡድን ስደተኞች ናቸው ሊል የሚችል መሆኑን ይደነግጋል,Human trafficking law
ሆኖም በተሰጠው ውሳኔ ምክኒያት መዝገቡ ካልተዘጋ በስተቀር የጉዳዩ መታየት አይቋረጥም,ant-corruption law
በሌላ በኩል ኢትዮጵያ ያጸደቀቻቸው ዓለም አቀፍ ስምምነቶች የሀገሪቱ የህግ አካል መሆናቸውን የሚያስቀምጠው የህገ መንግስቱ አንቀጽ 9  4   የሚገኘው ስለ ህግ መንግስቱ የበላይነት በሚደነግገው አንቀጽ ስር በመሆኑ ኢትዮጵያ ያጸደቀቻቸው ዓለም ዓቀፍ ስምምነቶች በህገ መንግስቱ እኩል ደረጃ እንዳላቸው ያሳያል ብለው የሚከራከሩ አሉ,Human trafficking law
ይህ ሁለቱን ወንጀሎች የተለየ ባህሪና የወንጀል ማቋሚያ ፍሬ ነረሮች ስላላቸው ህግ አውጭው ሁለቱን ወንጀሎች በአንድ አዋጅ ማውጣቱ የፈጠረው ችግር ይመስለኛል,Human trafficking law
በወንጀል ህጉ አንቀጽ 597 መሠረት በሴቶችና በህጻናት መነገድ በሚል ርዕስ በሴት ልጅ ወይም አካለ መጠን ባላደረሰ ልጅ የግዳጅ ስራ እንድትተሰራ እንዲሰራ በማሰብ በኃይል  በዛቻ በተንኮል  በማታለል  በመጥለፍ ወይም በሴቲቱ ወይም በልጁ ላይ ኃላፊነት ላለው ሰው ገንዘብ ወይም ሌላ ጥቅም በመሥጠት ተበዳይዋን ተበዳዩን የመለመለ  በእጁ ያስገባ  የደበቀ  ከቦታ ቦታ ያዘዋወረ  ከአገር ያስወጣ ወይም ወደ ሀገር ያስገባ እንነደሆነ ከ5-20 ዓመት በሚደርስ ፅኑ አስራት የሚያስቀጣ ሲሆን ይህንኑ አስቦ ዝውውሩን የላከ   የመራ   የፈፀመም በተመሳሳይ እንደሚቀጣ ይደነግጋል,Human trafficking law
አዋጁ ሰባት ክፍሎችን እና ሃምሳ የሚደርሱ ልዩ ልዩ አንቀፆችን የያዘ ነው,Human trafficking law
ተጠርጣሪው በተፈቀደለት የመጠቀም መብት ሲጠቀም በንብረቱ ላይ ጉዳት ሊያደርስ ይችላል ተብሎ ሲገመት መርማሪው ወይም አቃቢ ህጉ ንብረቱን ከጉዳት ለመከላከል የሚጠቅም ትእዛዝ እንዲሰጥለት ፍ/ቤቱን ሊጠይቅ ይችላል,ant-corruption law
በዚህ አንቀጽ ንዑስ አንቀጽ   አቤቱታ የቀረበለት አግባብ ያለው አካል አቤቱታውን ወዲያውኑ በመቀበል የቂም በቀል እርምጃ አለመኖሩን በማጣራት ተገቢነት ያለውን ትእዛዝ መስጠት ይኖርበታል,ant-corruption law
በእግር በሚደረግ ጉዞ ሲሆን ደግሞ ብዙውን ጊዜ በጨለማና በጫካ ውስጥ ረጅም ርቀት እንዲጓዙ ይገደዳሉ   በአውሬ ተበልተው እንዲሞቱ ይዳረጋሉ,Human trafficking law
በህግ በቃለ መሀላ ወይም በስምምነት ማስረጃን በሚስጥር የመጠበቅ ግዴታ ያለበት ማናቸውም ሰው ማስረጃውን አግባብ ላለው አካል በመስጠቱ ህጉን ቃለ መሃላውን ወይም ስምምነቱን እንደጣሰ አያስቆጥረውም,ant-corruption law
ግዴታን አለመወጣትም ወንጀል በመሆኑ በዚሁ አዋጅ አንቀጽ 12 ላይ ተደንግጓል,Human trafficking law
በተለይም በ1949 የወጣውን የህገ-ወጥ የሰዎች ዝውውር እና ሴተኛ አዳሪነት ብዝበዛን ለማስቀረት የወጣውን ስምምነት ለጉዳዩ  ለህገ ወጥ የሰዎች ዝውውር   ቀጥተኛ ተፈፃሚነት ያለው የመጀመሪያው ሰነድ ነው,Human trafficking law
በሙስና ወንጀል የተገኘ ንብረት ማለት በተከሳሽ ባለቤትነት ወይም ይዞታ ስር የሚገኝ በቀጥታም ሆነ በተዘዋዋሪ መንገድ በሙስና ወንጀል የተገኘ ንብረት ወይም ገንዘብ ሲሆን ወንጀሉ ከተፈጸመ በኋላ በቀጥታም ሆነ በእጅ አዙር ከተከሳሹ በስጦታ የተሰጠ በአደራ የተቀመጠና የተሸሸገ   ማናቸውም በወንጀል የተገኘ ንብረትን ወይም ገንዘብን ይጨምራል,ant-corruption law
ይህ አዋጅ የተሻሻለው የጸረ ሙስና ልዩ የስነ-ሥርዐትና የማስረጃ ህግ   ማሻሻያ   አዋጅ ቁጥር 882/2007 ተብሎ ሊጠቀስ ይችላል,ant-corruption law
ለተከሳሹ የእለት ኑሮ አስፈላጊ የሆኑ ንብረቶች በአንቀጽ 8 በተመለከተው መሰረት የእግድ ትእዛዝ አያርፍባቸውም የእግድ ትእዛዝ ከማያርፍባቸው ውስጥ በተለይ የሚከተሉት ይገኙበታል,ant-corruption law
በሚሰጠው የእግድ ትእዛዝ ቅር የተሰኘ ወገን አቤቱታውን ለፍ/ቤት ማቅረብ ይችላል,ant-corruption law
ህገ ወጥ የሰዎች ዝውውር እኤአ 2000 ፓሌርሞ ላይ በወጣው የተባበሩት መንግስታት ህገ ወጥ ዝውውርን በተለይም የህጻናትንና የሴቶችን ዝውውር ለመከላከል በወጣው ስምምነት አንቀጽ 3 ላይ እንደሚከተለው ትርጉም ተሰጥቶታል,Human trafficking law
ሙስናን መሸከም የማይችል ህብረተሰብ   እንዲሁም የሙስና ወንጀልን በመከላከል   በመመርመርና በመክሰስ ረገድ የፌደራልና የክልል የሥነ-ምግባርና የጸረ-ሙስና ተቋሞች በትብብርና በተደጋጋፊነት ይሰራሉ,ant-corruption law
የህገ ወጥ ዝውውር ወንጀል ወንጀሉ በአጠቃላይ ተጎጅወችን በማስገደድ   በማታለል  በመዛት   በሃይል በመጠቀም የሚፈጸም በመሆኑ ወንጀለኞችን ለማስቀጣት በተጎጅዎች ምስክርነት ላይ የሚጣለውን እምነት ልዩ የምርመራ ዘዴ መጠቀሙ ይቀንሰዋል,Human trafficking law
በተሻሻለው የጸረ ሙስና ልዩ የስነ-ስርዐትና የማስረጃ ህግ አዋጅ ቁጥር 434/  997 ውስጥ ግልጽነት የጎደላቸውን ድንጋጌዎች ግልጽ በማድረግ ማሻሻልና አዳዲስ ድንጋጌዎችን ማካተት አስፈላጊ ሆኖ በመገኘቱ,ant-corruption law
የአዋጁ አንቀጽ 40 እና 4 ተሰርዘው ከአንቀጽ 42 እስከ 56 ያሉት ነባር አንቀጾች እንደቅደም ተከተላቸው ከአንቀጽ 40 እስከ 54 ሆነው ተሸጋሽገዋል,ant-corruption law
አግባብ ባለው ህግ መሰረት በክልሉ ጠቅላይ ፍ/ቤት የመጀመሪያ ደረጃ የዳኝነት ስልጣን እንዲታዩ የተደነገጉት ክሶች እነደተጠበቁ ሆነው ሌሎች በክልል መንግስት ስር የሚወድቁ የሙስና ወንጀሎችን በሚመለከት የክልል ከፍተኛ ፍ/ቤት የመጀመሪያ ደረጃ የዳኝነት ሥልጣን አለው,ant-corruption law
አንድ ጽሁፍ   መዝገብ  ወይም ማንኛውንም ሰነድ የመንግስት ወይም የህዝባዊ ድርጅት በማስመሰል ያዘጋጀ ወይም የፈጠረ እንደሆነ,ant-corruption law
በተለይ ጉዲፌቻው በውጭ ሀገር ዜጎች የሚደረግ ሲሆን ችግሩ የጎላ ነው,Human trafficking law
በፍ/ቤት ትእዛዝ የተደረገውን እሽግ ፍ/ቤቱ እንዲነሳ ካላዘዘ በቀር ማንም ሰው እሽጉን ለመቅደድ ወይም ለመክፈት አይችልም,ant-corruption law
እንደ ጸሃፊው እምነት በአንቀጽ 6 ስር ያለው ከፍተኛ የአካል ጉዳት መድረስ የሚለው በአዋጁ መስፈርት ካልተቀመጠለት በሌሎች የሀገሪቱ ህጎች ማለትም በወንጀል ህጉ አንቀጽ 555 መሰረት ለከባድ የአካል ጉዳት የተቀመጠውን መስፈርት መጠቀም የሚገባ ሲሆን በአዋጁ አንቀጽ 3  2  ለ   እና አንቀጽ 5  2  ለ   ለተቀመጠው አካላዊ ጉዳት ደግሞ በወንጀል ህጉ አንቀጽ 556 ያለውን ቀላል የአካል ጉዳት ማድረስ ወንጀል መስፈርት መጠቀም ያስፈልጋል,Human trafficking law
ሆኖም በተሰጠው ውሳኔ ምክኒያት መዝገቡ ካልተዘጋ በስተቀር የጉዳዩ መታየት አይቋረጥም,ant-corruption law
ፍ/ቤቱ ንብረት እንዲወረስ ካልወሰነ በሙስና ወንጀል የተገኘ ንብረት መወረስ ጥያቄ በአቃቢ ህግ አመልካችነት ሊታይ ይችላል,ant-corruption law
ሆኖም ያለ ፍርድ ቤት ትእዛዝ የግል የመገናኛ ዘዴዎችን የመጥለፍ ተግባር እንዲፈፀም መነሻ የሆኑ ማስረጃዎችና ምክንያቶች ለፌዴራል ከፍተኛ ፍርድ ቤት ፕሬዚዳንት በ72 ሠዓት ውስጥ በጽሁፍ መቅረብና መጽደቅ አለባቸው,Human trafficking law
የአዋጁ አንቀጽ 4 ንዑስ አንቀጽ   ተሰርዞ በሚከተለው አዲስ ንኡስ አንቀጽ   ተተክቷል,ant-corruption law
በዚህ አንቀጽ ንዑስ አንቀጽ ሀ መሰረት በንብረት ጠባቂነት የሚሾመው የህግ ሰውነት ያለው ከሆነ ያለፉት ሶስት አመታት የሂሳብ አያያዙ ንጹህ መሆኑንና የጥቅም ግጭት አለመኖሩ መረጋገጥ ይኖርበታል,ant-corruption law
ምናልባትም ህግ አውጭው በተከሳሾች ላይ በድንጋጌው የተቀመጡት አማራጭ ቅጣቶች ውስጥ አንዱ ከተወሰነባቸው የገንዘብ መቀጮው አስፈላጊ አይደለም የሚል እምነት ካለውም መቀጮውን በድንጋጌው ካስቀመጠ በኋላ በአፈጻጸሙ በልዩ ሁኔታ ማለትም ፍርድ ቤቱ ቅጣቱን ሲወስን ተከሳሽ በዕድሜ ልክ ወይም በሞት እንዲቀጣ ከተወሰነ የገንዘብ መቀጮውን አይወስንም በሚል ሊያስቀምጥ ይችል ነበር የሚል እምነት አለኝ,Human trafficking law
ህገ-ወጥ የሰዎች ዝውውር ወንጀሉ በወንጀለኞች ቡድን የሚፈጸም ሲሆን ይህ ቡድንም ከትንንሽ ቡድኖች እስከ ትልልቅ ቡድኖች  የተደራጁ ቡድኖች እንደ ሰንሰለት የተያያዙ ፈጻሚወች በተለያየ ደረጃ የሚካፈሉበት ሂደት ነው,Human trafficking law
ይህ አዋጅ የሙስና ወንጀሎች አዋጅ ቁጥር 88   /2007ተብሎ ሊጠቀስ ይችላል,ant-corruption law
እንደ ጸሃፊው እምነት አዋጁ ከመውጣቱ በፊት በነበሩ ጉዳዮችም ላይ ቢሆን ክስ የማቅረብ ወይም ቅጣት በይርጋ የሚታገድ አይሆንም,Human trafficking law
ምክንያቱም በወንጀል ሕግ ስነ ስርዓት መሠረት የወንጀል ክስ የማቅረብ ስልጣን የዐ  ህግ በመሆኑ ነው,Human trafficking law
ሰው ማለት የተፈጥሮ ሰው ወይም በህግ የሰውነት መብት የተሰጠው አካል ነው,ant-corruption law
